Education,Marital_Status,Income,Recency,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Response,Customer_Tenure,Total_Spend,Family_Size,Total_Campaigns_Accepted,Age
Graduation,Single,58138.0,58,3,8,10,4,7,0,1,663,1617,1,0,57
Graduation,Single,46344.0,38,2,1,1,2,5,0,0,113,27,3,0,60
Graduation,Partnered,71613.0,26,1,8,2,10,4,0,0,312,776,1,0,49
Graduation,Partnered,26646.0,26,2,2,0,4,6,0,0,139,53,2,0,30
PhD,Partnered,58293.0,94,5,5,3,6,5,0,0,161,422,2,0,33
Master,Partnered,62513.0,16,2,6,4,10,6,0,0,293,716,2,0,47
Graduation,Single,55635.0,34,4,7,3,7,6,0,0,593,590,2,0,43
PhD,Partnered,33454.0,32,2,4,0,4,8,0,0,417,169,2,0,29
PhD,Partnered,30351.0,19,1,3,0,2,9,0,1,388,46,2,0,40
PhD,Partnered,5648.0,68,1,1,0,0,20,0,0,108,49,3,1,64
Basic,Partnered,7500.0,59,1,2,0,3,8,0,0,593,61,1,0,38
Graduation,Single,63033.0,82,1,3,4,8,2,0,0,226,1102,1,0,55
Master,Single,59354.0,53,3,6,1,5,6,0,0,226,310,3,0,62
Graduation,Partnered,17323.0,38,1,1,0,3,8,0,0,627,46,1,0,27
PhD,Single,82800.0,23,1,7,6,12,3,0,1,582,1315,1,2,68
Graduation,Partnered,41850.0,51,3,3,0,3,8,0,0,552,96,3,0,34
Graduation,Partnered,37760.0,20,2,4,1,6,7,0,0,667,317,1,0,68
Master,Partnered,76995.0,91,2,11,4,9,5,0,0,458,1782,2,1,65
2n Cycle,Single,33812.0,86,2,2,1,3,6,0,0,603,133,2,0,29
Graduation,Partnered,37040.0,41,1,4,2,5,8,0,0,690,316,1,0,32
Graduation,Partnered,2447.0,42,15,0,28,0,1,0,0,539,1730,2,0,35
PhD,Partnered,58607.0,63,3,2,3,9,8,0,0,553,972,2,1,65
PhD,Partnered,65324.0,0,3,6,2,9,4,0,0,169,544,2,0,60
Graduation,Partnered,40689.0,69,7,7,1,5,8,0,0,468,444,2,0,63
Graduation,Single,18589.0,89,2,2,1,3,7,0,0,543,75,1,0,45
Graduation,Partnered,53359.0,4,4,5,1,4,7,0,0,398,257,3,0,38
Graduation,Partnered,38360.0,26,2,2,1,4,3,0,0,394,131,2,0,25
PhD,Partnered,84618.0,96,1,6,9,10,2,0,0,219,1672,1,1,49
Master,Single,10979.0,34,2,3,0,3,5,0,0,38,30,1,0,25
Master,Partnered,38620.0,56,1,2,5,3,3,0,0,414,318,1,0,51
Graduation,Partnered,40548.0,31,2,2,1,4,5,0,0,627,120,2,1,44
PhD,Single,46610.0,8,6,4,1,6,6,0,1,608,302,3,0,62
Master,Partnered,68657.0,4,1,3,5,9,7,0,0,494,1196,1,0,68
Master,Single,49389.0,55,1,2,0,3,7,0,0,304,65,3,0,63
PhD,Partnered,67353.0,37,5,5,6,12,2,0,0,180,913,2,0,44
2n Cycle,Partnered,23718.0,76,3,3,1,2,7,0,0,300,81,2,0,38
Graduation,Single,42429.0,99,2,1,1,3,5,0,0,138,67,2,0,41
PhD,Single,48948.0,53,2,7,10,5,6,0,1,513,902,1,1,71
Graduation,Partnered,80011.0,3,2,8,6,5,4,0,0,426,1395,2,0,34
Master,Partnered,20559.0,88,2,2,0,3,8,0,0,474,53,2,0,29
Graduation,Partnered,21994.0,4,1,0,0,3,5,0,0,552,22,2,0,57
Master,Partnered,7500.0,19,3,2,0,3,5,0,0,270,31,2,0,39
Graduation,Single,79941.0,72,1,2,4,9,1,0,0,1,984,1,0,38
2n Cycle,Partnered,7500.0,24,3,3,1,3,9,0,1,597,122,1,0,18
Graduation,Partnered,41728.0,92,1,2,0,2,10,0,0,401,55,2,0,46
PhD,Partnered,72550.0,39,9,5,2,12,8,0,0,598,1319,3,0,60
Graduation,Single,65486.0,29,1,4,2,10,2,0,0,48,507,2,0,57
Master,Partnered,79143.0,2,1,6,9,13,3,0,0,687,1693,1,0,50
Graduation,Single,35790.0,54,2,2,0,3,7,0,0,543,72,2,0,37
Graduation,Single,82582.0,54,1,4,9,7,1,0,1,22,1617,1,2,37
Graduation,Partnered,66373.0,57,7,4,2,10,3,0,0,382,606,3,0,36
Master,Partnered,82384.0,55,1,3,10,13,1,0,1,587,1957,1,1,59
Graduation,Single,70287.0,30,1,5,5,10,3,0,1,453,1093,1,0,48
Graduation,Single,27938.0,31,1,1,0,4,3,0,0,62,29,2,0,26
PhD,Partnered,55954.0,63,3,8,2,6,7,0,0,118,518,2,0,46
Master,Single,75777.0,12,1,3,6,11,1,0,1,360,1438,1,2,32
Graduation,Partnered,66653.0,18,4,4,2,12,3,0,0,660,612,3,0,39
Graduation,Single,61823.0,26,4,8,2,10,7,0,0,496,884,2,0,62
PhD,Single,67680.0,8,1,7,3,8,5,0,0,383,606,2,0,63
Graduation,Partnered,70666.0,29,1,7,4,4,4,0,0,205,1076,1,0,66
Graduation,Partnered,25721.0,75,1,1,1,2,7,0,1,404,34,2,0,43
Graduation,Partnered,32474.0,0,1,1,0,2,7,0,0,49,11,3,0,47
2n Cycle,Single,88194.0,19,1,11,10,10,5,0,1,102,1274,2,2,35
Graduation,Partnered,69096.0,4,1,5,2,10,4,0,0,275,653,2,0,56
Graduation,Partnered,74854.0,90,7,2,5,5,5,0,0,447,1562,4,0,44
Master,Partnered,66991.0,1,3,4,8,6,3,0,0,656,1253,1,0,60
Graduation,Partnered,65031.0,29,4,10,3,13,7,0,0,469,863,2,0,55
PhD,Partnered,60631.0,88,5,9,2,8,7,0,0,450,661,3,1,39
Graduation,Partnered,28332.0,58,1,2,1,4,2,0,0,60,65,1,0,62
Graduation,Single,40246.0,68,1,1,0,2,6,0,0,557,13,2,0,37
Master,Partnered,75251.0,34,1,7,6,5,5,0,1,671,1890,1,0,42
Graduation,Single,75825.0,40,0,5,8,9,4,0,1,625,2209,1,1,38
2n Cycle,Partnered,26326.0,12,1,0,0,3,3,1,0,298,18,1,0,38
Graduation,Partnered,56046.0,9,2,10,1,8,8,0,1,543,692,1,1,49
Graduation,Single,29760.0,87,4,3,1,4,8,0,0,669,165,2,0,29
Graduation,Partnered,26304.0,5,1,1,0,2,7,0,0,371,16,2,0,45
2n Cycle,Partnered,23559.0,87,3,3,0,3,7,0,0,361,79,2,0,41
Master,Partnered,38620.0,56,1,2,5,3,3,0,0,414,318,1,0,51
Graduation,Single,81361.0,18,1,3,10,13,1,0,0,124,778,1,0,27
Graduation,Partnered,29440.0,95,2,1,0,4,7,0,0,322,56,3,0,54
Master,Partnered,36138.0,48,5,3,1,4,7,0,0,348,151,3,1,44
Graduation,Single,50388.0,3,4,6,1,6,7,0,1,32,372,2,2,57
Graduation,Partnered,79593.0,70,1,5,6,7,2,0,0,48,1366,1,1,41
Graduation,Partnered,54178.0,79,1,2,2,5,2,0,0,159,194,2,0,47
Master,Single,42394.0,69,1,1,0,3,7,0,0,98,32,2,0,42
PhD,Partnered,23626.0,84,3,3,1,3,5,0,0,36,43,2,0,44
Graduation,Partnered,30096.0,30,1,2,0,3,6,0,0,38,45,2,0,31
Graduation,Single,47916.0,72,5,7,4,6,6,0,0,584,606,2,1,54
Graduation,Single,51813.0,37,2,2,0,3,7,0,0,444,63,3,0,42
2n Cycle,Partnered,78497.0,44,1,5,7,12,2,0,0,210,978,1,1,63
PhD,Partnered,50150.0,32,2,5,2,7,5,0,0,374,410,1,0,31
2n Cycle,Single,47823.0,0,2,2,0,3,8,0,0,341,72,2,0,54
PhD,Single,34554.0,43,2,2,0,3,6,0,0,91,55,2,0,55
Graduation,Partnered,85693.0,59,2,9,5,11,5,0,0,435,1169,2,0,35
PhD,Partnered,65846.0,68,1,6,3,6,4,0,0,408,1120,1,0,69
